Topic,Count,Name,Representation,Representative_Docs
-1,2,-1____,"['', '', '', '', '', '', '', '', '', '']","['produk sesuai pengiriman cepat dan packaging aman terima kasih seller', 'barang sesuai pesanan dan pengiriman cepat terima kasih ya', 'barang sesuai deksripsi pengiriman cepat dan rapi terima kasih']"
0,283,0_bahannya_dipakai_nyaman_cantik,"['bahannya', 'dipakai', 'nyaman', 'cantik', 'warnanya', 'adem', 'nyaman dipakai', 'ukuran', 'bahannya adem', 'rapi']","['jahitannya rapi warnanya cantik bahannya lembut ukuran sesuai nyaman dipakai modelnya cantik bahannya adem', 'kualitas bahan bagus nyaman dipakai jahitannya rapi ukuran sesuai warnanya cantik bahannya lembut bahannya adem tidak menerawang bahan menyerap keringat', 'jahitannya rapi ukuran sesuai modelnya cantik warnanya cantik nyaman dipakai bahannya adem']"
1,308,1_pengiriman_pengiriman cepat_cepat_barang,"['pengiriman', 'pengiriman cepat', 'cepat', 'barang', 'packing', 'sesuai', 'cepat barang', 'aman', 'bagus', 'barang sesuai']","['barang bagus dan pengiriman cepat', 'pengiriman cepat packing aman', 'pengiriman cepat barang sesuai']"
2,273,2_bagus_mantap_barang_berfungsi,"['bagus', 'mantap', 'barang', 'berfungsi', 'sesuai', 'barang bagus', 'semoga', 'berfungsi baik', 'baik', 'bagus sesuai']","['bagus', 'bagus sekalaa uuhuy', 'bagus banget']"
3,285,3_seller_respon_cepat_penjual,"['seller', 'respon', 'cepat', 'penjual', 'ramah', 'fast', 'recommended', 'barang', 'toko', 'pengiriman']","['barang cet sampai thanks seller fast respon nya', 'respon penjual cepat pengiriman cepat dankemasan rapi', 'pengiriman sangat cepat respon penjual juga baik packing amat banget terima kasih seller']"
4,178,4_packaging_packaging aman_aman_packaging rapi,"['packaging', 'packaging aman', 'aman', 'packaging rapi', 'proses pesanan', 'pesanan cepat', 'penjualnya', 'proses', 'cepat packaging', 'pesanan']","['packaging simpel proses pesanan cepat packaging aman packaging rapi', 'proses pesanan cepat packaging aman packaging rapi', 'proses pesanan cepat packaging aman packaging rapi']"
5,212,5_terima_terima kasih_kasih_barang,"['terima', 'terima kasih', 'kasih', 'barang', 'terimakasih', 'diterima', 'sesuai', 'kasih barang', 'baik', 'gan']","['terima kasih barang sampai dan sesuai deskripsi', 'barang sampai cepeet banget terima kasih top banget', 'terima kasih gun barang nya sudah sampai sesuai pesanan']"
6,165,6_harga_murah_kualitas_harganya,"['harga', 'murah', 'kualitas', 'harganya', 'harga murah', 'terjangkau', 'bagus', 'sesuai harga', 'bagus harga', 'harga terjangkau']","['barangnya bagus kualitas product bagus harga terjangkau recomended', 'kualitas barang bagus harga murah', 'harga murah kualitas baik']"
7,125,7_produk_produk bagus_produk sesuai_produk original,"['produk', 'produk bagus', 'produk sesuai', 'produk original', 'original', 'kualitas produk', 'sesuai', 'material produk', 'deskripsi', 'baik']","['material produk bagus ukuran produk sesuai kualitas produk bagus produk original', 'material produk bagus kualitas produk bagus produk sesuai produk original', 'material produk bagus kualitas produk bagus produk original ukuran produk sesuai']"
8,101,8_bubble_wrap_bubble wrap_aman,"['bubble', 'wrap', 'bubble wrap', 'aman', 'plastik', 'enggak', 'pakai', 'kardus', 'packing', 'tebal']","['produk sesuai deskripsi packing rapi dan aman dengan dus dan bubble wrap pengiriman cepat pagi pesan sore sampai', 'harga murah deh packing aman banget dilapisi bubble wrap yang sangat tebal juga dus yang tebal', 'bubble wrap tebal original kualitas baru dan baik']"
9,89,9_respon_respon cepat_fast_cepat,"['respon', 'respon cepat', 'fast', 'cepat', 'fast respon', 'response', 'fast response', 'cepat barang', 'proses', 'barang']","['mantap sesuai pesanan bakonya benar mentol respon cepat pengiriman cepat', 'respon cepat barang bagus', 'respon cepat barang sesuai pesanan']"
10,138,10_packing_aman_rapi_packing aman,"['packing', 'aman', 'rapi', 'packing aman', 'packing rapi', 'barang', 'sesuai', 'deskripsi', 'selalu', 'sesuai deskripsi']","['barang sudah sampai pelayanan cepat sekali packing aman dan barang sesuai deskripsi terimakasih dan sukses selalu ya', 'bagus packing aman', 'packing rapi barang sesuai pesanan']"
11,79,11_mantap_mantap mantap_kinclong_menjadi,"['mantap', 'mantap mantap', 'kinclong', 'menjadi', 'mantap barangnya', 'mantaapp', 'senang', 'top', 'rasa', 'duduk']","['mantap', 'mantap djiwaa', 'mantap']"
12,87,12_sesuai pesanan_order_pesanan_repeat,"['sesuai pesanan', 'order', 'pesanan', 'repeat', 'repeat order', 'sesuai', 'selalu', 'kali', 'barang sesuai', 'barang']","['sesuai pesanan trmksi', 'sesuai pesanan', 'repeat order ke']"
13,95,13_kasih_seller_terima_terima kasih,"['kasih', 'seller', 'terima', 'terima kasih', 'kasih seller', 'semoga', 'sellernya', 'ramah', 'pesan', 'banyak']","['alhamdulillah bos barangnya sesuai pesanan sampai dalam waktu hari luar biasa terima kasih banyak semoga lancar jaya dan untuk teman teman jangan ragu untuk belanja di toko ini terima kasih', 'alhamdulillah barangnya sudah sampai di coba bagus semoga awet terima kasih seller kurir dan tokopedia', 'mantab deh sih kecil suka terima kasih seller sama pengiriman nya terima kasih toko pedia']"
14,44,14_buku_bukunya_sedikit_aman,"['buku', 'bukunya', 'sedikit', 'aman', 'sayang', 'pengiriman', 'tebal', 'cepat buku', 'pengiriman cepat', 'cacat']","['terimakasih buku sudah sampai', 'barang nya sampai dengan baik tapi buku bukunya sangat mahal mungkin bisa di kurangi sedikit saya suka banget dengan bukunya dan sepertinya saya aka beli buku lagi di sini terima kasih', 'pengiriman cepat buku sampai dengan selamat keadaan buku baik baik saja buku tidak ada cacat dan kekurangan']"
15,115,15_enggak_berfungsi_buat_cuma,"['enggak', 'berfungsi', 'buat', 'cuma', 'suaranya', 'berfungsi baik', 'jadi', 'baik', 'pakai', 'game']","['beli satu stik pas alhamdulillah sampai dengan keadaan baik bahkan packingnya pun juga pakai bubble wrap rapi saat ini stik pas nya sudah saya coba pakai selama kurang lebih minggu lebih stik nya berfungsi dengan normal dan baik saja dengan catatan saya pakai buat main game yang ringan saja seperti misalnya bukan game yang bertipe membutuhkan ritme kecepatan menggerakkan analog dan juga bukan menekan tombol yang keras dan berkali misalnya game fighting hanya saya gunakan buat main game bertipe casual saja itu saja terimakasih', 'barangnya original ada garansi resmi suaranya jernih desainnya modern nyaman dipakai lama koneksi bluetooth kuat material premium baterai tahan lama noise cancellation mantap kabelnya kuat bass nya mantap suaranya gurih harganya terjangkau value for money koneksi ke apple lancar koneksi android lancar suaranya bersih enggak kresek kresek penjualnya ramah banget proses pesanan cepat', 'barang sampai dengan aman walau pengiriman antar pulau review hari pemakaian kualitas yang ngagetin dengan range harga segini apalagi saya beli saat diskon tombolnya tinggi tactile analognya responsif dan sensitif l r nya clicky trigger dan bumper enak dipencet linear triggernya juga benaran fungsi enggak cuma embel embel nama rumble atau getarnya juga fitur tambahan yang bagus build qualitynya terasa premium enggak kopong dengan body yang doff finish jadi enak dipegang kabelnya juga braided tapi layoutnya yang lumayan lebar agak sulit buat yang tangannya kecil dan di pad nya sayangnya juga bukan yang terbaik buat jempol lu kelamaan pakai karena pinggirannya yang tajem sama bentuknya yang salib jadi rada renggang di bagian serong jempol lu bakal terasa sakit kalo terusan geser geser mencet di pad nya apalagi saya prinegativei yang pakai controller ini buat main game gelut walau begitu saya enggak menyesal beli ini untuk range harganya kualitasnya tetap ngangetin setara dengan controller konsol orisinal recommended product']"
